text,labels
if a pencil cost four dollars and a book ten dollars cost how much i should pay if i buy two pencil and three book. is the time currently correct for where i am located,"['qa_maths', 'datetime_query']"
what is the latest news on donald trump,['news_query']
enable my plug,['iot_wemo_on']
google train tickets to washington d. c.. is there a meeting on my calendar this afternoon. who wrote this song,"['transport_ticket', 'calendar_query', 'music_query']"
what is the make up of the chair. stock price. give me my facebook update every three hours,"['qa_factoid', 'qa_stock', 'social_query']"
could you please confirm if leonardo is married,['qa_factoid']
hi can you please turn lower the lights. tell me if global warming is true. show me news about trump. send an email to juanpedro at gmail dot com,"['iot_hue_lightdim', 'general_quirky', 'news_query', 'email_sendemail']"
remind me on fifth march of every year to arrange wedding anniversary presents. what is the latest story from fox news. give the stock price details of motorolla. do i have a sales meeting today,"['calendar_set', 'news_query', 'qa_stock', 'calendar_query']"
what is the population of new york. sticking to diet. have i gotten any new email,"['qa_factoid', 'general_quirky', 'email_query']"
alexa start email. call the nearest thai restaurant with delivery. olly put dark colors instead of light ones in the house. let's have the lights blue,"['email_sendemail', 'takeaway_order', 'iot_hue_lightchange', 'iot_hue_lightchange']"
will i need to carry around a brolly today. play atmosphere next. i'm so happy today i got tickets for the concert,"['weather_query', 'play_music', 'general_quirky']"
how many hours distance is between my location and new york. currency exchange. will i need an umbrella today. hey what time is it in london now,"['datetime_convert', 'qa_currency', 'weather_query', 'datetime_query']"
what time does the zach brown concert on june third begin. is traffic light. create an alarm for today at ten am. is there a groomer in town for cats only,"['calendar_query', 'transport_traffic', 'alarm_set', 'general_quirky']"
read my grocery list. next song. olly play a good track from my favorite jazz player,"['lists_query', 'play_music', 'play_music']"
what should i cook for supper. open a reminder about next weeks managers meeting on tuesday,"['cooking_recipe', 'calendar_set']"
alexa turn the lights down to seven,['iot_hue_lightdim']
what do i need to make lamb pathia. tell me how to make a poor boy sandwich,"['cooking_recipe', 'cooking_recipe']"
should i bring an umbrella tomorrow,['weather_query']
tell me all about hurricane. can you loop the playlist themes. speaker volume increase,"['qa_definition', 'play_music', 'audio_volume_up']"
i want to see the next podcast available,['play_podcasts']
where do most celebrities hang out,['qa_factoid']
change my light color to blue and please turn off the kitchen light. what's the capital of kazakhstan. please check the weather in kansas,"['iot_hue_lightchange', 'qa_factoid', 'weather_query']"
set me a meeting next tuesday at eleven am with jesse. start playing ringcast,"['calendar_set', 'play_podcasts']"
give me a cooking tutorial,['cooking_recipe']
what's the latest news on c. n. n.,['news_query']
did i leave the light on in the garage. please retweet this post on twitter,"['iot_hue_lightoff', 'social_post']"
tell me what's happening on instagram. olly let's hear wgrr one hundred and three point five,"['social_query', 'play_radio']"
turn office lights off. tell me what's happening on instagram,"['iot_hue_lightoff', 'social_query']"
date today. stream poker face by lady gaga. remove from my calendar meeting at nine am. put my dinner at red lobster on the calendar for today at nine,"['datetime_query', 'play_music', 'calendar_remove', 'calendar_set']"
play my soundtrack. what days do i have booked. tell me about india location. add tal meeting on twenty first at seven,"['play_music', 'calendar_query', 'qa_factoid', 'calendar_set']"
one dolla equals how much inr. set my alarm for twelve p. m.,"['qa_currency', 'alarm_set']"
i want it to remember my preferences and recommend me things based on them when i ask. when will the world end,"['general_quirky', 'general_quirky']"
remind me about the party tomorrow,['calendar_set']
remind me to call mom every tuesday at ten am. can you really see russia from alaska,"['calendar_set', 'qa_factoid']"
delete all the events in my calendar. when is the next time it will rain. what's the time in sydney now,"['calendar_remove', 'weather_query', 'datetime_query']"
show me the contents of the list,['lists_query']
what is one plus one. will you send a calendar invite out to james and alice for brunch at eleven am on tuesday,"['qa_maths', 'calendar_set']"
please tweet at pizzahut i've been waiting for my delivery for now number nothappy. please make the lights natural,"['social_post', 'iot_hue_lightchange']"
plant based news. in my calendar delete all of my golf events for the current month,"['news_query', 'calendar_remove']"
tell me what i wore yesterday. is the time currently correct for where i am located,"['general_quirky', 'datetime_query']"
read back my grocery list to me. turn on a country music station,"['lists_query', 'play_radio']"
what do you think about future,['general_quirky']
open bad religion folder. send email to tim at hotmail dot com. show me direction to my home. where is a walking trail near me,"['play_music', 'email_sendemail', 'transport_query', 'recommendation_locations']"
did the price of walmart stock go up or down. what is the exchange rate for mexico money. set a reminder up next month to get my oil changed,"['qa_stock', 'qa_currency', 'calendar_set']"
start the vacuum cleaner. initialize the robot vacuum. email notifications,"['iot_cleaning', 'iot_cleaning', 'email_query']"
where are the rocky mountains. please rate current song as five stars,"['qa_factoid', 'music_likeness']"
show me my meetings this friday. olly cancel all soccer practice alarms,"['calendar_query', 'alarm_remove']"
please remind me to call mom in half an hour,['calendar_set']
do i have any appointments. turn off the lights in the bathroom,"['calendar_query', 'iot_hue_lightoff']"
math,['general_quirky']
play ella fitzgerals get happy,['play_music']
what region is miami located. next play justin bieber's sorry,"['qa_factoid', 'play_music']"
are there any new emails received after four o'clock today. are there any alarms going off today,"['email_query', 'alarm_query']"
tell me current time in los angels. how would you describe a happy birthday,"['datetime_query', 'qa_definition']"
play song aces high,['play_music']
what are meeting scheduled for today,['calendar_query']
how much is the us dollar worth in canada,['qa_currency']
have any emails come in since four hundred today. play slayer. what items are on my shopping list. play netflix on my p. s. four,"['email_query', 'play_music', 'lists_query', 'play_radio']"
brightness ninety percent. alexa give me the headline news,"['iot_hue_lightchange', 'news_query']"
clear out the problem. what is the increase in stock value over the past week of disney,"['general_quirky', 'qa_stock']"
can you find me a furniture store near me. schedule a one hour appointment for saturday. send email to new contact,"['recommendation_locations', 'calendar_set', 'email_sendemail']"
show me my latest social media activity,['social_query']
put my dinner at red lobster on the calendar for today at nine. what day is the fifth,"['calendar_set', 'datetime_query']"
find gluten free bakery near me,['recommendation_locations']
will it be rainy tomorrow,['weather_query']
recommend a movie for me,['recommendation_movies']
in how many hours will it be midnight in london england. what reminders do i have. open contacts and call john smith. hey order two wings with french fries from the chinese food store,"['datetime_query', 'calendar_query', 'email_querycontact', 'takeaway_order']"
make a new shopping list. can you write an email to chelsea. math. give me the time of the events,"['lists_createoradd', 'email_sendemail', 'general_quirky', 'calendar_query']"
should i wear a jacket,['weather_query']
where jackie chan currently live. take out the milk from the shopping list. please alert me to the time,"['qa_factoid', 'lists_remove', 'datetime_query']"
remind me i take mom to the hairdresser's thursday at one thousand one hundred am,['calendar_set']
start a competitive crossword for us. olly i need to hear some sad songs today. how many states have the death penalty,"['play_game', 'play_music', 'qa_factoid']"
how far away is the sun. what's this week's weather. someone play the radio,"['qa_factoid', 'weather_query', 'play_radio']"
tell me the news about share market ups and downs,['news_query']
is this the least or most important moment in history ever,['general_quirky']
put the lights off now,['iot_hue_lightoff']
how old is emma watson newest boyfriend. change volume to thirty five percent. olly i am taking day off tomorrow. remove events from my list,"['qa_factoid', 'audio_volume_other', 'general_quirky', 'lists_remove']"
please alert me a day before jeff's birthday. open audiobook. initiate polling for new email,"['calendar_set', 'play_audiobook', 'email_query']"
say the list. could you tell me the time in london. find food and order. what are lady gagas most popular songs,"['lists_query', 'datetime_query', 'takeaway_order', 'music_query']"
just let me know the important meetings with my boss over the week. how is the new movie swat,"['calendar_set', 'recommendation_movies']"
could you please play the f. m. station which plays pop songs. what alarms did i set. can you book an uber after i left for office,"['play_radio', 'alarm_query', 'transport_taxi']"
brighter. please slow down volume of speaker,"['iot_hue_lightup', 'audio_volume_down']"
has anyone commented on my status,['social_query']
find songs from my big band playlist. set a reminder for my daughters birthday. what's happening around the world,"['play_music', 'calendar_set', 'news_query']"
please purchase a train ticket for this weekend,['transport_ticket']
take out the milk from the shopping list,['lists_remove']
is it going to rain later,['weather_query']
shadi special podcast play it,['play_podcasts']
please go to the next episode of the podcast. how much is the us dollar worth in canada,"['play_podcasts', 'qa_currency']"
remember how i fell about this song. i want more light,"['music_likeness', 'iot_hue_lightup']"
how long should i cook a steak to be medium. can you track my emotions based on the way i speak,"['cooking_recipe', 'general_quirky']"
i want to listen to the latest mike and mike podcast. display list of recent emails. disable alarm for three p. m.. remove my car payment on my calendar,"['play_podcasts', 'email_query', 'alarm_remove', 'lists_remove']"
what is the most current exchange rate in china. start radio channel eight hundred and eighty nine,"['qa_currency', 'play_radio']"
i will require full cover jacket if it is too stormy in evening. open saga. when is the next time it will rain,"['weather_query', 'play_game', 'weather_query']"
can i get delilah on the radio in the bedroom,['play_radio']
i want to know about the brexit. give the stock price details of motorolla. have i received new emails in the last ten minutes. tell me the recipe of,"['news_query', 'qa_stock', 'email_query', 'cooking_recipe']"
i had a bad day. how many hours distance is between my location and new york,"['general_quirky', 'datetime_convert']"
can you remind me to order the turkey three weeks before thanksgiving. please play shape of you by said sheeran,"['calendar_set', 'play_music']"
check for new email. check for emails from steve. enable my plug. tell me the train arrival time to new york,"['email_query', 'email_query', 'iot_wemo_on', 'transport_query']"
what alarms are set. i need next week's lunch put on the calendar. show me painting exhibition in bay area,"['alarm_query', 'calendar_set', 'recommendation_events']"
what's the sum of the two numbers four and six,['qa_maths']
can you find me a furniture store near me. set repeating reminder for every sunday,"['recommendation_locations', 'calendar_set']"
what does turbulence mean. i want to send an email to my family do you help me,"['qa_definition', 'email_sendemail']"
remove the list,['lists_remove']
current weather,['weather_query']
play any song by joe prsaise. please turn up the screen brightness all the way,"['play_music', 'iot_hue_lightup']"
describe the heart stone card game. which contact haven't i called in twelve months. the weather was bad today. hayathis daughter baby shower,"['qa_definition', 'email_querycontact', 'general_quirky', 'calendar_set']"
do i have a date on friday. olly set alarm for reminder,"['calendar_query', 'alarm_set']"
i need a recipe that is from ingredients on my shopping list,['cooking_recipe']
what is the deepest point on earth,['qa_factoid']
what is scheduled on my calendar today. share in friends post,"['calendar_query', 'social_post']"
will trump visit russia anytime soon. switch off the lights. can you tell me the time it is. what do i have scheduled for the nineteenth at two p. m.,"['news_query', 'iot_hue_lightoff', 'datetime_query', 'calendar_query']"
tell me today's date. clear my next activity. how do i set my coffee machine to make coffee,"['datetime_query', 'calendar_remove', 'iot_coffee']"
what day is the fifth. compose a new email to ray. what time is it in pacific standard time,"['datetime_query', 'email_sendemail', 'datetime_query']"
great song for the commute,['music_likeness']
what are the b. b. c. poll predictions for the upcoming us elections. hey what has been happening interesting in sports lately,"['news_query', 'general_quirky']"
what is the current time,['datetime_query']
i need a cup of coffee. mute please. i want to remove apples from list,"['iot_coffee', 'audio_volume_mute', 'lists_remove']"
what's the temperature outside. show me my meetings this friday,"['weather_query', 'calendar_query']"
set alarm six am. remind me to call mom every tuesday at ten am. please reduce the speaker volume,"['alarm_set', 'calendar_set', 'audio_volume_down']"
what month is today,['datetime_query']
play a game with me,['play_game']
do i have any new emails in the last hour. remove tuesday alarm of nine am. play only my list. display the local time of london at this moment,"['email_query', 'alarm_remove', 'play_music', 'datetime_query']"
make an alarm for the meeting with bob at seven today. please remind me to go to the post office. write an email to my family saying i love you all. please give me the winning lottery numbers for this weekend,"['alarm_set', 'calendar_set', 'email_sendemail', 'general_quirky']"
what is the location of moldova,['qa_factoid']
what is the current time. hello my item which i bought from some one has gone out of order. i need to get a ticket via train to orlando from hwood. what's up olly,"['datetime_query', 'social_post', 'transport_ticket', 'general_greet']"
order a pizza with sausage from domino's. open google keep,"['takeaway_order', 'lists_query']"
could you explain the meaning of exorbitant for me please. can you put in lee's birthday on the twenty second of june. play all order of the green hand from previous week. turn on my playlist and play third song in the queue,"['qa_definition', 'calendar_set', 'play_podcasts', 'play_music']"
have any emails arrived in the last fifteen minutes. i've canceled the order placed at mcd did it go through,"['email_query', 'takeaway_query']"
erase all the events in the calendar,['calendar_remove']
remind me about my meeting an hour before it begins,['calendar_set']
please start the coffee pot,['iot_coffee']
how many lists do i have. play next podcast. what ingredients do i need to bake a large cake. what is six divided by two,"['lists_query', 'play_podcasts', 'cooking_recipe', 'qa_maths']"
i would need to be notified of church services on sundays at eleven am,['calendar_set']
what's happening around the world. i want tickets to the sold out concert on saturday night,"['news_query', 'general_quirky']"
set a repeating reminder alarm for the facebook event i have to attend on seventh april. clear everything off my calendar for the rest of the year,"['alarm_set', 'calendar_remove']"
tell me what i wore yesterday. remove from my calendar meeting at nine am. add my opinion to this song great. am i going to be able to mow the grass this evening,"['general_quirky', 'calendar_remove', 'music_likeness', 'weather_query']"
what is the time difference between california and new york. current weather forecast,"['datetime_convert', 'weather_query']"
tell me when i have an event. write an email for john at gmail dot com,"['calendar_set', 'email_sendemail']"
can you create a sugar free diet for me and create a shopping list for the ingredients. tell me all the current events in my hometown,"['general_quirky', 'recommendation_events']"
definition of velocity. erase all the events,"['qa_definition', 'calendar_remove']"
is dinner ready yet,['takeaway_query']
my choice to play an audio from first. please dim the lights. please turn on the wemo plug socket. i would like to reply to sarah's email,"['play_audiobook', 'iot_hue_lightdim', 'iot_wemo_on', 'email_sendemail']"
tell me the local events. do you know math. has anyone follow me today on twitter today,"['recommendation_events', 'qa_maths', 'social_query']"
show me events in sacramento. convert current time from g. m. t. to e. s. t.. fast. what ingredients do i need to bake a large cake,"['recommendation_events', 'datetime_convert', 'audio_volume_up', 'cooking_recipe']"
tell me if i have any new messages in my inbox. play giants by banks and steelz,"['email_query', 'play_music']"
remind upcoming meeting with eminem. i want to order chinese take-out. convert eight am manila time to new york time,"['calendar_set', 'takeaway_order', 'datetime_convert']"
find geographic details of this place,['qa_factoid']
any mail from amazon today. hi can you please turn lower the lights. i would like to reply to sarah's email. africa info,"['email_query', 'iot_hue_lightdim', 'email_sendemail', 'qa_factoid']"
what year did this song come out. can you send the email to the new email id. olly clear the list. house can you make all the lights in the house blue,"['music_query', 'email_sendemail', 'lists_remove', 'iot_hue_lightchange']"
are there any alarms going off today,['alarm_query']
set reminder for noon to get lunch with boss,['calendar_set']
i need to know the time right now what is it. house can you make all the lights in the house blue. add selected song,"['datetime_query', 'iot_hue_lightchange', 'play_music']"
i need some details about bruce lee please assist. what is the time difference between here and japan,"['qa_factoid', 'datetime_convert']"
delete all events from my calendar. title of song. please make me a cup of coffee. please start vacuum cleaner,"['calendar_remove', 'music_query', 'iot_coffee', 'iot_cleaning']"
define blanket,['qa_definition']
can you please stop speaking. olly do i have any new emails. what reminders did i set,"['audio_volume_mute', 'email_query', 'calendar_query']"
i need to something every monday set a reminder for it. noodles one pack make it as takeaway,"['calendar_set', 'takeaway_order']"
create a playlist,['lists_createoradd']
how many lists do i have in contacts,['lists_query']
please add an email for john doe to my contacts johndoe at yahoo dot com. start music app and play a song for me. play the song sung by katy perry,"['email_addcontact', 'play_music', 'play_music']"
do i have any new emails from my contact q.. what is the menu today add some boiled vegetables also to it,"['email_query', 'cooking_recipe']"
what time is it in central time zone. what's a good joke,"['datetime_query', 'general_joke']"
what music is currently playing on,['music_query']
give me the time of the events. send a funny message to all of my friends. resume series podcast,"['calendar_query', 'social_post', 'play_podcasts']"
what is the location of moldova. i want to see the news,"['qa_factoid', 'news_query']"
keep reading the audiobook to me. start sirius xm radio channel. what do you know about fringe in edinburgh next year. can you reply to charlotte that i am going to be busy with the projects for next three weeks,"['play_audiobook', 'play_radio', 'general_quirky', 'email_sendemail']"
do i have any new emails in my inbox today. on monday the twentieth i need to have a conversation with greg about our weekend trip,"['email_query', 'calendar_set']"
why does sofia vergara look so young. convert eight thirty from gtm four to g. m. t. five thirty,"['general_quirky', 'datetime_convert']"
what is the time difference between california and new york,['datetime_convert']
yes i like to save opinion on song playing and which player support that song. what's the currency exchange rate for china,"['music_likeness', 'qa_currency']"
remove list item,['lists_remove']
send an email to margaret. shut down the sound,"['email_sendemail', 'audio_volume_mute']"
can i wear my sandals today. find an oscar nominee movie. two thumbs down at companyname. the weather was bad today,"['weather_query', 'recommendation_movies', 'social_post', 'general_quirky']"
did i get new emails from sarah,['email_query']
reply this mail. show me my latest social media activity,"['email_sendemail', 'social_query']"
set a reminder for my daughters birthday. if it's sunrise in stockholm what time is it in okinawa,"['calendar_set', 'datetime_convert']"
where does kate middleton buy her kids clothes. scratch that one from the list,"['general_quirky', 'lists_remove']"
uber me to the airport,['transport_taxi']
i want more light,['iot_hue_lightup']
